Location,Country,Division,About1,About2,Description,AddressText,AddressTitle,Address
Dolni Redice,Czech Republic,Modules and Polymers,"The area is attractive for its easy access from Prague by the highway or by train. Near to the plant, you have Pardubice: nice town with castle",,Dolní Ředice  is located at 10 km from Pardubice and  100 km from Prague in Czech Republic,Internships available for colleagues or trainees  from other Motherson plants abroad,,
Drawsko Pomorskie,PL,Wiring Harness,"Drawsko Pomorskie is a great place for tourists. You will find many sights and entertainment like survival, paintball and offroad. After work, you can take advantage of canoeing, sails, bicycle trips, fishing, mushroom picking. You will find many natural monuments, viewpoints and memorials. It is a well-connected city in Western Pomerania. Great availability of shops, pharmacies. There are medical centers, a hospital, educational institutions, a cinema, etc.","Kabel-Technik-Polska every year supports numerous local initiatives regarding charity collections, promoting sport among children, education, integrating the local community, caring for health, etc. We are the main sponsors of many cultural and social events in our local community, such as: charity festivals, picnics historical, Charity runs, Sports regattas. We also provide material support to local kindergartens or, for example, the Volunteer Fire Department.","a city in north-western Poland, in the West Pomeranian Province, the seat of the Drawsko County and the Drawsko Pomorskie urban-rural commune. Since 1946, to the south of the city, there is the Drawsko Training Grounds, one of the largest training grounds in Poland and Europe. The city is situated on the Drawa River in the Drawskie Lakeland. The national road no. 20 and the railway line no. 210 pass through Drawsko Pomorskie. The narrow-gauge railway line Stara Dąbrowa - Drawsko Pomorskie also ran through the town. Within the city limits there is a small lake Okra and lake Lubie approx. 3 km from the city.
The distance to the Baltic Sea is about 90 kilometers from here, and about 85 km to the capital of the voivodeship - Szczecin.","Permanent cooperation with local universities in the internship program for students. We also organize an internship program, where students can gain professional experience and continue cooperation with our company during their studies. Our company gives many opportunities to establish business relationships thanks to participation in technical fairs, specialist training courses, which is associated with the acquisition of knowledge in an extraordinary field and numerous trips to interesting places.",,"Podmiejska 1, Podmiejska 1 Drawsko Pomorskie
Drawsko Pomorskie 78-500
Poland"
Emden,Germany,Modules and Polymers,"In Emden, SMP operates a module centre where the final assembly of bumpers and door panels takes place. Join our team and help us shape world class vehicles with our products. -  Assembly for the new electric cars, among others - forward-looking",See CSR Report,"A seaport and wildlife sanctuary on Germany’s North coast
Emden offers the charm of a wildlife sanctuary on the nearby North Sea coast, including all the beautiful islands such as Norderney, Juist and Borkum. The Netherlands are located just across the Ems River.
Emden is situated in East Friesland, Lower Saxony and has around 50,000 inhabitants. It was established around 800 AD as a place of trade. In the 20th century, several major industrial companies have established plants here, including Volkswagen. In addition to the fantastic outdoor opportunities available on Germany’s coast, Emden also offers plenty of interesting places to visit for culture lovers, such as the art gallery, the ship museums and the Emden theatre. ",100% supplier for bumpers for Emden plant,,"Frisia-Industriepark
Horchstraße 24
26723 Emden
Germany"
Epila,Spain,Vision Systems,,,Info available on SMR website under current location descriptions,,,"Poligono Industrial Valdemuel s/n,
50290 Epila/Zaragoza
Spain"
Foshan,China,Modules and Polymers,"Foshan is one of the most important centres in China for trade and commerce. With several well-known car manufacturers being based in the city, the automotive industry plays an important role here. The SMP plant in Foshan employs around 50 people involved in the manufacture of high quality products for the automotive industry. Join our team and help us shape world class vehicles with our products.",,"A jewel in the Pearl River Delta
Foshan is a city in south-east China, in Guangdong Province, with a population of around 7.2 million. It is located in the Pearl River Delta, approx. 20 kilometres from the city of Guangzhou, which is Guangdong’s metropolis.
Famous personalities such as Bruce Lee and Ip Man are associated with Foshan, which is regarded as the home of kung fu and dragon boat racing. The city offers many places of interest, including the Ip Man and Bruce Lee Museum, the Ancestral Temple, the Xiqiao Mountain National Forest Park, the Qiandeng Lake and the Confucius Temple of Foshan.",,,"Foshan, China 
Foshan City
Nanhai District
Shishan Town
Nanhai Software Technology Zone
Business-Start-Up-Centre
Building A Room 109 Station 1004
528237 China"
Galanta - PLEASE DELETE GALANTA. THE PLANT WAS CLOSED DOWN BY 03?2022.,Slovakia,Modules and Polymers,Our location in Galanta is mainly a highly specialized production hub for supporting German car makers in the region with a variety of high quality modules such as door panels and interiors. Around 200 people are employed at the plant. Join our team and help us to shape world class vehicles with our products.,,"Where European cultures meet
Galanta is a small town with 15,000 inhabitants in the south-western part of Slovakia nearby Bratislava, the capital city of Slovakia. It is the hub of the automotive industry in the region of Galanta.
Since the town is only 60 km away from the Hungarian border and 100 km from the Czech border, it is a great place for people who like to travel or enjoy the option of visiting other countries. It is true that Galanta is a small town, but it is a pleasant place to be because of the different cultures which you can enjoy here, since many of the inhabitants are from other European countries. The surrounding nature is quite pleasant, since there are many agricultural fields in the vicinity where various crops are grown by the locals. If you are a fishing enthusiast, there are many lakes with a wide range of options. Water sports are also very popular in the area. Close to the SMP plant there is a facility with mineral water swimming pools. The opportunity to go sailing is also worth mentioning. In the surrounding villages there are many old water mills and medieval churches. For golfers there are two alternatives with great golf courses, and wine lovers will appreciate tours of the local vineyards.",,,
GDT,France,Modules and Polymers,"Gondecourt has kept its rural aspect so dear to the heart of the Flemish people, still mixing some farms still in activity and traditional houses. Gondecourt is far from being a dormitory town. An industrial zone, a handicraft zone and numerous businesses (113 patents) give impetus to a strong and lively economy. Finally, the presence of about fifty active associations creates a deep link between all the inhabitants who do not fail to meet regularly. Every week, there is something going on here!

For centuries, education has played an important role in the town with the presence of nursery and primary schools, a college and a high school.

There are 3000 students who attend school, three quarters of whom come from the neighboring towns.",Blood donation ,"Gondecourt is a small village located in North of France of more than 4000 inhabitants which extends on 822 hectares.


In the immediate vicinity of Lille (20 minutes by car) , the village is close to major roads such as the A1 and the Deûle canal to the north.

Surrounded by fields and located near the Phalempin forest, it is crossed by the 11 steeples hiking trail. ",,,
Gifhorn,Germany,Modules and Polymers,"Wolfsburg is where the headquarters of Volkswagen are based. The city was originally established as a home for the Volkswagen employees. Today, it has a population of around 125,000 inhabitants. SMP operates an engineering centre in Gifhorn focusing, amongst other things, on product development, prototype construction, 3D printing and CAD/CAM. Join our team and help us shape world class vehicles with our products.",,"Windmills and a unique landscape
Gifhorn in Lower Saxony has a population of around 41,000 and is located 20 kilometres from Wolfsburg and approximately 30 kilometres from Braunschweig.
One of the most important buildings in the town is Gifhorn Castle which includes a museum of local history. Festivals and markets take place here every year. Gifhorn also has an international windmill and watermill museum – a unique institution in Europe. It includes 16 mills from 12 different countries, as well as historical items from the milling industry. The city is located in the southern area of the Lϋneburg Heath, a flat landscape featuring unique flora and fauna. Many parts of the Lϋneburg Heath are protected in official nature reserves.",,,"Rockwellstraße 8
38518 Gifhorn
Germany"
Göttingen,Germany,Modules and Polymers,"The SMP Plant in Göttingen is a modern factory on a former airport. With around 260 employees, SMP Göttingen manufactures a wide range of injection moulding products such as bumpers, grilles, covers, high quality exterior trims and other products for many car manufacturers in Europe. Thanks to the support of live dear company SMP continues its work at site. It is a great pleasure to have such partners that provide reliable content with rules and strategies in casino world. Thanks to the play-live-games site for cooperation at providing content not only at our site but for people that love poker and roulette. Join our team and help us to shape world class vehicles with our products.",,"The city that creates knowledge
Göttingen refers to itself as the city that creates knowledge, which is certainly no exaggeration: 20 per cent of the population are students and the Georg August University is one of the largest and oldest Universities in the region.
If you take a closer look at this old University town, not only do the beautiful old houses tell their story as part of history, but the statues in the parks also show that the existing knowledge still has an influence on our modern science. With important representatives such as Carl Gauss who worked and lived here from 1807 onwards, Göttingen has left its mark on global science history.",,,
Gravatai,Brazil,Modules and Polymers,"The General Motors factory in Gravataí and its innovative Automotive Industrial Complex (CIAG), which has 18 other companies installed in the state of Rio Grande do Sul, complete two decades since its opening on July 20, 2000.
SMRC Gravatai is one of the companies that make up the group of systemists installed at the General Motors factory.",SMRC annually promotes several charitable campaigns such as: donation of non-perishable food and winter clothes.,"Gravatai is a city located in the state of Rio Grande do Sul, Brazil. The municipality covers an area of 463.5 km² and had 281,519 inhabitants in the last research. The population density is 607.4 inhabitants per km² in the territory of the municipality.",Internship and apprentice programs.,,"
Rodovia BR 290-Km 67 - LOTE 14
Gravatai 94065-140
Rio Grande do Sul
Brazil"
Gujarat,India,Vision Systems,,Plantation in Village schools,,Apprenticeship programme available- Work with skill development agencies and train young people,,
Hannover,Germany,Modules and Polymers,"In Hannover, SMP operates a module centre where the final assembly of bumpers takes place. Join our team and help us shape world class vehicles with our products. Assembly for the new electric cars, among others - forward-looking",See CSR Report,"-capital of the state of Lower Saxony

- was once Kingdom of Hanover with close connection to Great Britain

- junction north-south and east-west

- Maschsee lake with Maschsee festival and Herrenhausen gardens with Herrenhausen castle

- Annual largest Schützenfest in the world",,,"Emil-Berliner-Straße 13-15
30851 Langenhagen
Germany"
Harnes,France,Modules and Polymers,"It is a peaceful city where the Technical Center is located and allows you to work in serene conditions. Several local shops are nearby, as well as two major shopping centers within 20 km.","We work regularly to implement and respect the societal commitments we make, through events on our site.","Harnes is located in the North of France, 20 minutes from Lille.
Harnes is also 10 minutes from Lens and 20 minutes from Arras and Douai, large dynamic, industrial cities steeped in the automotive industry.","Our teams research and design local and ecological products to satisfy our customers. Our materials therefore come mainly from regional sources, and we promote this commitment.

We also support around ten work-study students spread over several departments, in partnership with national schools.",,"87 rue Léon Duhamel
62440 Harnes 
France"
